Slonce 0 2 1 2 2 2 1
Slonecznik 0 2 1 3 2 3 1
Drzewo 0 3 1 1 2 3 2 3 1
Mak 0 3 1 3 2 3 1
Slonce 0 2 1 2 2 2 2
Slonecznik 0 2 1 3 2 3 2
Drzewo 0 3 1 1 2 3 2 3 2
Mak 0 3 1 3 2 3 2
Slonce 0 2 1 2 2 2 3
Slonecznik 0 2 1 3 2 3 3
Drzewo 0 3 1 1 2 3 2 3 3
Mak 0 3 1 3 2 3 3
Slonce 0 1 1 1 2 1 4
Mak 0 2 1 1 2 1 4
Slonecznik 0 1 1 2 2 1 4
Slonecznik 0 1 1 1 2 1 5
Slonce 0 1 1 1 2 1 6
Slonecznik 0 1 1 1 2 1 6
Drzewo 0 1 1 2 2 1 2 1 6
Mak 0 1 1 2 2 1 6
Slonce 0 1 1 1 2 1 7
Slonecznik 0 1 1 1 2 1 7
Drzewo 0 1 1 2 2 1 2 1 7
Mak 0 1 1 2 2 1 7
Slonce 0 1 1 1 2 1 8
Slonecznik 0 1 1 1 2 1 8
Drzewo 0 1 1 2 2 1 2 1 8
Mak 0 1 1 2 2 1 8
Slonce 0 1 1 1 2 1 9
Slonecznik 0 1 1 1 2 1 9
Drzewo 0 2 1 1 2 1 2 1 9
Mak 0 1 1 2 2 1 9
Slonce 0 1 1 1 2 1 10
Slonecznik 0 1 1 1 2 1 10
Drzewo 0 1 1 2 2 1 2 1 10
Mak 0 1 1 2 2 1 10
